Unnamed: 0,City_Name,City_Lat,City_Long,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
279,Banfora,10.6333,-4.7667,78.08,72,72,3.78,BF,2021-06-16 22:15:59
280,Namatanai,-3.6667,152.4333,81.54,70,76,4.63,PG,2021-06-16 22:15:59
281,Palu,-0.8917,119.8707,74.32,95,95,3.38,ID,2021-06-16 22:15:59
282,AmapÃ¡,1.0,-52.0,73.17,97,7,2.68,BR,2021-06-16 22:16:00
283,Port Blair,11.6667,92.75,82.53,80,100,16.13,IN,2021-06-16 22:16:00
284,Tigzirt,36.8886,4.1198,76.03,63,66,2.95,DZ,2021-06-16 22:16:01
285,Upata,8.0086,-62.3989,74.37,89,96,3.4,VE,2021-06-16 22:16:01
286,ArdakÄn,32.31,54.0175,88.18,13,0,1.77,IR,2021-06-16 22:16:01
288,Utete,-7.986000000000001,38.758,65.05,92,17,1.28,TZ,2021-06-16 22:16:02
289,Ol'ga,43.7444,135.2892,58.59,86,25,1.86,RU,2021-06-16 22:16:03
290,North Bend,43.4065,-124.2243,67.28,67,1,20.71,US,2021-06-16 22:11:28
291,Mount Isa,-20.7333,139.5,58.77,38,54,5.75,AU,2021-06-16 22:11:57
292,AllÄpalli,19.4167,80.0667,77.36,89,100,3.24,IN,2021-06-16 22:16:03
293,Ewo,-0.8725,14.8206,75.83,70,60,3.98,CG,2021-06-16 22:16:04
294,Mitsamiouli,-11.3847,43.2844,77.31,75,4,4.81,KM,2021-06-16 22:16:04
